seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,,
27,45,37.69931626,0.00643301,37.70574927,11898.98314,,,,,,
27,60,37.58900118,0.006554842,37.59555602,11949.65309,,,,,,
27,90,37.15679598,0.006525278,37.16332126,11886.10305,,,,,,
27,120,36.95783901,0.006280899,36.96411991,11862.31031,,,,,,
28,3,38.6599319,0.006567955,38.66649985,11978.08299,,,,,,
28,9,38.09846115,0.006613016,38.10507417,11989.12213,,,,,,
28,15,38.08350301,0.006399155,38.08990216,11985.60934,,,,,,
28,21,38.10517883,0.006600142,38.11177897,11954.92326,,,,,,
28,27,38.16063094,0.007563114,38.16819406,11945.58385,,,,,,
28,30,37.95094776,0.006545305,37.95749307,11986.57363,,,,,,
28,45,37.82653689,0.00654912,37.83308601,11953.25136,,,,,,
28,60,37.61062407,0.006459951,37.61708403,11917.91223,,,,,,
28,90,37.58056331,0.006484032,37.58704734,11836.68457,,,,,,
28,120,37.32424283,0.006386995,37.33062983,11787.90048,,,,,,
29,3,38.93261504,0.006564856,38.9391799,7103.850499,,,,,,
29,9,38.65016437,0.006605625,38.65676999,7104.175088,,,,,,
29,15,38.17192125,0.006605148,38.1785264,7109.038455,,,,,,
29,21,38.21506,0.006556988,38.22161698,7114.25438,,,,,,
29,27,38.12769604,0.006666899,38.13436294,7095.355661,,,,,,
29,30,37.91165304,0.006542921,37.91819596,7110.907273,,,,,,
29,45,37.80691504,0.006578922,37.81349397,7068.835387,,,,,,
29,60,37.75086594,0.006618977,37.75748491,7074.818366,,,,,,
29,90,37.40085483,0.006538868,37.40739369,7036.683958,,,,,,
29,120,37.38775396,0.00641489,37.39416885,7004.108291,,,,,,
30,3,39.16719508,0.006561041,39.17375612,9211.579727,,,,,,
30,9,38.39204621,0.006546974,38.39859319,9202.89211,,,,,,
30,15,38.30550194,0.006576061,38.312078,9188.441344,,,,,,
30,21,38.23000598,0.006563902,38.23656988,9208.979291,,,,,,
30,27,38.09124207,0.006578207,38.09782028,9203.329452,,,,,,
30,30,38.03196287,0.006689072,38.03865194,9166.123691,,,,,,
30,45,38.00598407,0.00640893,38.012393,9161.651,,,,,,
30,60,37.61838126,0.006532907,37.62491417,9140.949218,,,,,,
30,90,37.31046486,0.006491184,37.31695604,9095.347853,,,,,,
30,120,37.10254526,0.006299973,37.10884523,9063.989996,,,,,,
31,3,38.65981293,0.006550074,38.666363,9264.029421,,,,,,
31,9,38.18689919,0.006439924,38.19333911,9257.775658,,,,,,
31,15,38.03085423,0.006401062,38.03725529,9267.088284,,,,,,
31,21,37.95532608,0.006597996,37.96192408,9278.314908,,,,,,
31,27,37.94194388,0.006581068,37.94852495,9281.38014,,,,,,
31,30,38.08203387,0.006704092,38.08873796,9289.806588,,,,,,
31,45,38.00556016,0.006628752,38.01218891,9250.961162,,,,,,
31,60,37.67984295,0.006567955,37.6864109,9258.236083,,,,,,
31,90,37.31205106,0.006517887,37.31856894,9161.852317,,,,,,
31,120,37.36738896,0.006411076,37.37380004,9108.612582,,,,,,
32,3,39.34604287,0.006570101,39.35261297,10035.17843,,,,,,
32,9,38.77518415,0.006614208,38.78179836,10050.01842,,,,,,
32,15,38.82685995,0.006675959,38.83353591,10050.9423,,,,,,
32,21,38.90324092,0.00661397,38.90985489,10044.6032,,,,,,
32,27,38.17716098,0.00654912,38.1837101,10047.61018,,,,,,
32,30,38.55870795,0.006577969,38.56528592,10037.4222,,,,,,
32,45,38.05291009,0.00661397,38.05952406,10022.38701,,,,,,
32,60,37.70725989,0.006582022,37.71384192,9998.132063,,,,,,
32,90,37.48838997,0.006583929,37.4949739,9938.074904,,,,,,
32,120,37.223104,0.006418228,37.22952223,9886.066014,,,,,,
33,3,39.23707008,0.006579876,39.24364996,7766.6962,,,,,,
33,9,38.52726507,0.006705999,38.53397107,7734.989273,,,,,,
33,15,38.12425494,0.00656414,38.13081908,7748.585654,,,,,,
33,21,38.16841292,0.006554842,38.17496777,7723.165091,,,,,,
33,27,38.13047814,0.006541014,38.13701916,7751.72011,,,,,,
33,30,37.91727591,0.00657773,37.92385364,7761.732968,,,,,,
33,45,38.09127975,0.006658077,38.09793782,7697.673279,,,,,,
33,60,37.81186104,0.00655508,37.81841612,7683.710313,,,,,,
33,90,37.39525509,0.006506681,37.40176177,7600.4649,,,,,,
33,120,37.30011916,0.006409883,37.30652905,7558.001651,,,,,,
34,3,38.97650194,0.006613016,38.98311496,8262.518402,,,,,,
34,9,38.27974033,0.006578922,38.28631926,8262.847057,,,,,,
34,15,38.20579314,0.006572723,38.21236587,8239.924434,,,,,,
34,21,38.01237607,0.006433964,38.01881003,8235.681417,,,,,,
34,27,37.98854971,0.006588221,37.99513793,8223.453534,,,,,,
34,30,37.94169807,0.006556034,37.94825411,8220.227344,,,,,,
34,45,37.71376085,0.006494045,37.7202549,8190.016051,,,,,,
34,60,37.4761138,0.00655818,37.48267198,8172.686315,,,,,,
34,90,37.32440329,0.006327868,37.33073115,8137.376161,,,,,,
34,120,37.16003203,0.006431818,37.16646385,8098.21906,,,,,,
35,3,39.02991605,0.006614923,39.03653097,11760.11318,,,,,,
35,9,38.27464604,0.006583214,38.28122926,11764.41542,,,,,,
35,15,38.16691589,0.006631136,38.17354703,11730.43681,,,,,,
35,21,38.20634508,0.00658083,38.21292591,11698.98651,,,,,,
35,27,38.32422113,0.006578922,38.33080006,11689.41314,,,,,,
35,30,38.0232811,0.006546974,38.02982807,11694.86762,,,,,,
35,45,37.95812702,0.006573915,37.96470094,11652.15958,,,,,,
35,60,37.67353296,0.006559372,37.68009233,11625.82453,,,,,,
35,90,37.59910727,0.006553888,37.60566115,11564.7057,,,,,,
35,120,37.38171577,0.006438971,37.38815475,11519.08758,,,,,,
36,3,39.02918792,0.006585121,39.03577304,9858.785266,,,,,,
36,9,38.44510484,0.006590128,38.45169497,9887.739723,,,,,,
36,15,38.25552702,0.006592751,38.26211977,9883.579832,,,,,,
36,21,38.19394302,0.006571054,38.20051408,9917.263276,,,,,,
36,27,38.28901196,0.006704807,38.29571676,9908.730701,,,,,,
36,30,38.11531401,0.006571054,38.12188506,9871.453765,,,,,,
36,45,37.94961524,0.006567955,37.9561832,9877.180913,,,,,,
36,60,37.79690075,0.006572008,37.80347276,9814.12142,,,,,,
36,90,37.43759179,0.006518841,37.44411063,9754.090907,,,,,,
36,120,37.325351,0.006402016,37.33175302,9699.010597,,,,,,
37,3,39.76250029,0.006597757,39.76909804,11448.85331,,,,,,
37,9,38.55833983,0.006645203,38.56498504,11475.66631,,,,,,
37,15,38.1964612,0.006500721,38.20296192,11476.65732,,,,,,
37,21,38.13188601,0.00655818,38.13844419,11460.69289,,,,,,
37,27,38.01796031,0.006598949,38.02455926,11448.3996,,,,,,
37,30,37.97645903,0.006587029,37.98304605,11449.54413,,,,,,
37,45,37.896945,0.006594181,37.90353918,11436.0035,,,,,,
37,60,37.51368189,0.006529093,37.52021098,11421.8114,,,,,,
37,90,37.36404037,0.006525755,37.37056613,11382.60295,,,,,,
37,120,37.20019579,0.006421089,37.20661688,11331.988,,,,,,
38,3,38.78399992,0.006621122,38.79062104,7984.294581,,,,,,
38,9,38.38813615,0.006618977,38.39475513,7949.20734,,,,,,
38,15,38.3389051,0.007009983,38.34591508,7946.65893,,,,,,
38,21,38.18530202,0.006603003,38.19190502,7940.239014,,,,,,
38,27,38.51143217,0.006522894,38.51795506,7935.223638,,,,,,
38,30,38.11269903,0.006597042,38.11929607,7935.375083,,,,,,
38,45,37.98440218,0.006598949,37.99100113,7930.30634,,,,,,
38,60,37.84584594,0.006492138,37.85233808,7906.898495,,,,,,
38,90,37.55116391,0.006502151,37.55766606,7909.897044,,,,,,
38,120,37.35378504,0.006438971,37.36022401,7885.107528,,,,,,
39,3,39.10699821,0.006590843,39.11358905,9698.779472,,,,,,
39,9,38.44596577,0.006608248,38.45257401,9678.461178,,,,,,
39,15,38.33680511,0.006580114,38.34338522,9658.802973,,,,,,
39,21,38.20289588,0.006569147,38.20946503,9654.735548,,,,,,
39,27,38.09109688,0.007880211,38.09897709,9630.272186,,,,,,
39,30,37.98103499,0.006556749,37.98759174,9619.441329,,,,,,
39,45,37.99330783,0.006562948,37.99987078,9599.511985,,,,,,
39,60,37.83768177,0.006577253,37.84425902,9567.314955,,,,,,
39,90,37.48877883,0.006546021,37.49532485,9551.583401,,,,,,
39,120,37.2117269,0.006481171,37.21820807,9501.02749,,,,,,
40,3,39.06356192,0.006618261,39.07018018,8874.096197,,,,,,
40,9,38.42722082,0.00663805,38.43385887,8902.996224,,,,,,
40,15,38.23541784,0.006607056,38.2420249,8904.187466,,,,,,
40,21,38.10434079,0.006587029,38.11092782,8903.880734,,,,,,
40,27,38.06682611,0.006576061,38.07340217,8897.118337,,,,,,
40,30,37.93719602,0.006555796,37.94375181,8881.635886,,,,,,
40,45,37.91999888,0.006561041,37.92655993,8873.807142,,,,,,
40,60,37.84387612,0.006561041,37.85043716,8863.309904,,,,,,
40,90,37.35446501,0.006567955,37.36103296,8812.419892,,,,,,
40,120,37.31005001,0.006417274,37.31646729,8777.140673,,,,,,
41,3,39.05677176,0.008756161,39.06552792,9589.51679,,,,,,
41,9,38.300488,0.00656414,38.30705214,9568.563414,,,,,,
41,15,38.30454779,0.006615162,38.31116295,9572.829956,,,,,,
41,21,38.36959791,0.006605148,38.37620306,9557.610245,,,,,,
41,27,38.238904,0.006561995,38.24546599,9549.762748,,,,,,
41,30,38.15654778,0.006565094,38.16311288,9563.670075,,,,,,
41,45,38.02273488,0.006592035,38.02932692,9543.404245,,,,,,
41,60,37.76225805,0.006624937,37.76888299,9535.355749,,,,,,
41,90,38.24264598,0.007517099,38.25016308,9495.34056,,,,,,
41,120,37.79306221,0.006551981,37.79961419,9458.223617,,,,,,
42,3,39.56678486,0.006704092,39.57348895,10360.89114,,,,,,
42,9,38.9597528,0.006691217,38.96644402,10367.30635,,,,,,
42,15,38.70268202,0.006605148,38.70928717,10373.5778,,,,,,
42,21,38.39565015,0.006582975,38.40223312,10370.30327,,,,,,
42,27,38.38201594,0.006579161,38.3885951,10370.74149,,,,,,
42,30,38.41484022,0.00668788,38.4215281,10352.3592,,,,,,
42,45,38.49805498,0.006651878,38.50470686,10374.72435,,,,,,
42,60,37.8282578,0.006577253,37.83483505,10374.35666,,,,,,
42,90,37.35896015,0.006494045,37.3654542,10335.52282,,,,,,
42,120,37.34986782,0.00644803,37.35631585,10266.13256,,,,,,
43,3,39.08021188,0.006569862,39.08678174,9216.099103,,,,,,
43,9,38.44656205,0.00660181,38.45316386,9216.129019,,,,,,
43,15,38.30082393,0.006618977,38.3074429,9242.38199,,,,,,
43,21,38.10686898,0.006587982,38.11345696,9246.532947,,,,,,
43,27,38.14358401,0.006645679,38.15022969,9225.588964,,,,,,
43,30,38.07561398,0.006603003,38.08221698,9218.681058,,,,,,
43,45,37.99423695,0.006606817,38.00084376,9189.575977,,,,,,
43,60,37.70064497,0.006552219,37.70719719,9165.492555,,,,,,
43,90,37.54554987,0.006551027,37.5521009,9095.461054,,,,,,
